date,store_id,product_id,units_sold,promo_flag,stockout_flag,unit_price,revenue
2022-01-01,1,101,10,0,0,59.99,599.9
2022-01-02,1,101,23,0,0,59.99,1379.77
2022-01-03,1,101,33,0,0,59.99,1979.67
2022-01-04,1,101,28,0,0,59.99,1679.72
2022-01-05,1,101,31,0,0,59.99,1859.69
2022-01-06,1,101,31,0,0,59.99,1859.69
2022-01-07,1,101,38,0,0,59.99,2279.62
2022-01-08,1,101,32,0,0,59.99,1919.68
2022-01-09,1,101,30,0,0,59.99,1799.7
2022-01-10,1,101,35,0,0,59.99,2099.65
2022-01-11,1,101,26,0,0,59.99,1559.74
2022-01-12,1,101,26,0,0,59.99,1559.74
2022-01-13,1,101,23,0,0,59.99,1379.77
2022-01-14,1,101,34,0,0,59.99,2039.66
2022-01-15,1,101,27,0,0,59.99,1619.73
2022-01-16,1,101,25,0,0,59.99,1499.75
2022-01-17,1,101,24,0,0,59.99,1439.76
2022-01-18,1,101,25,0,0,59.99,1499.75
2022-01-19,1,101,29,0,0,59.99,1739.71
2022-01-20,1,101,28,0,0,59.99,1679.72
2022-01-21,1,101,26,0,0,59.99,1559.74
2022-01-22,1,101,33,0,0,59.99,1979.67
2022-01-23,1,101,36,0,0,59.99,2159.64
2022-01-24,1,101,31,0,0,59.99,1859.69
2022-01-25,1,101,29,0,0,59.99,1739.71
2022-01-26,1,101,19,0,0,59.99,1139.81
2022-01-27,1,101,17,0,0,59.99,1019.83
2022-01-28,1,101,21,0,0,59.99,1259.79
2022-01-29,1,101,26,0,0,59.99,1559.74
2022-01-30,1,101,1,0,1,59.99,59.99
2022-01-31,1,101,24,0,0,59.99,1439.76
2022-02-01,1,101,28,0,0,59.99,1679.72
2022-02-02,1,101,29,0,0,59.99,1739.71
2022-02-03,1,101,32,0,0,59.99,1919.68
2022-02-04,1,101,27,0,0,59.99,1619.73
2022-02-05,1,101,22,0,0,59.99,1319.78
2022-02-06,1,101,32,0,0,59.99,1919.68
2022-02-07,1,101,17,0,0,59.99,1019.83
2022-02-08,1,101,23,0,0,59.99,1379.77
2022-02-09,1,101,30,0,0,59.99,1799.7
2022-02-10,1,101,22,0,0,59.99,1319.78
2022-02-11,1,101,42,0,0,59.99,2519.58
2022-02-12,1,101,27,0,0,59.99,1619.73
2022-02-13,1,101,28,0,0,59.99,1679.72
2022-02-14,1,101,25,0,0,59.99,1499.75
2022-02-15,1,101,22,0,0,59.99,1319.78
2022-02-16,1,101,21,0,0,59.99,1259.79
2022-02-17,1,101,26,0,0,59.99,1559.74
2022-02-18,1,101,34,0,0,59.99,2039.66
2022-02-19,1,101,25,0,0,59.99,1499.75
